,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name
204,0.334,0.409,0,-15.726,0,0.0363,0.911,0.948,0.219,0.509,158.913,audio_features,7JxxT43y0RFSWLmgSIpNDf,spotify:track:7JxxT43y0RFSWLmgSIpNDf,https://api.spotify.com/v1/tracks/7JxxT43y0RFSWLmgSIpNDf,https://api.spotify.com/v1/audio-analysis/7JxxT43y0RFSWLmgSIpNDf,156733,3,Antonio Vivaldi,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto"
205,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,audio_features,5q2JbCNi4FcnglgPfxcV65,spotify:track:5q2JbCNi4FcnglgPfxcV65,https://api.spotify.com/v1/tracks/5q2JbCNi4FcnglgPfxcV65,https://api.spotify.com/v1/audio-analysis/5q2JbCNi4FcnglgPfxcV65,307910,4,Anuel AA,Sola
206,0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902,audio_features,55kuHkT2CWhWKF6CoRDnJq,spotify:track:55kuHkT2CWhWKF6CoRDnJq,https://api.spotify.com/v1/tracks/55kuHkT2CWhWKF6CoRDnJq,https://api.spotify.com/v1/audio-analysis/55kuHkT2CWhWKF6CoRDnJq,208053,4,Apink,Dumhdurum
207,0.74,0.908,4,-2.668,0,0.0327,0.106,0.0,0.0637,0.745,105.996,audio_features,5SusX17QvBBkH7WfMbTU0j,spotify:track:5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/tracks/5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/audio-analysis/5SusX17QvBBkH7WfMbTU0j,220099,4,Apink,NoNoNo
208,0.87,0.872,1,-6.358,0,0.0423,0.0819,0.908,0.0866,0.858,128.031,audio_features,6CeK7M7pxjDTGjxfiEVvAP,spotify:track:6CeK7M7pxjDTGjxfiEVvAP,https://api.spotify.com/v1/tracks/6CeK7M7pxjDTGjxfiEVvAP,https://api.spotify.com/v1/audio-analysis/6CeK7M7pxjDTGjxfiEVvAP,227344,4,Approaching Nirvana,305
209,0.386,0.284,0,-15.418,1,0.0296,0.708,0.921,0.202,0.332,100.483,audio_features,6Dv1FL7WwncgWCy0rZDlEW,spotify:track:6Dv1FL7WwncgWCy0rZDlEW,https://api.spotify.com/v1/tracks/6Dv1FL7WwncgWCy0rZDlEW,https://api.spotify.com/v1/audio-analysis/6Dv1FL7WwncgWCy0rZDlEW,242733,3,Aram Khachaturian,Masquerade - Ballet Suite: 1. Waltz
210,0.81,0.245,0,-11.575,1,0.511,0.396,0.844,0.296,0.286,140.15,audio_features,0oBaooj0v0gZJBfuIZntbQ,spotify:track:0oBaooj0v0gZJBfuIZntbQ,https://api.spotify.com/v1/tracks/0oBaooj0v0gZJBfuIZntbQ,https://api.spotify.com/v1/audio-analysis/0oBaooj0v0gZJBfuIZntbQ,105186,4,Arcade Player,1am
211,0.747,0.371,4,-15.682,0,0.0805,0.867,0.899,0.099,0.968,82.493,audio_features,1rxh2AjEVs47K354ymm1sH,spotify:track:1rxh2AjEVs47K354ymm1sH,https://api.spotify.com/v1/tracks/1rxh2AjEVs47K354ymm1sH,https://api.spotify.com/v1/audio-analysis/1rxh2AjEVs47K354ymm1sH,98963,4,Arcade Player,1pm
212,0.84,0.149,9,-9.992,1,0.0872,0.726,0.604,0.105,0.265,99.947,audio_features,26xp5kQzZFrpjUJrVgreDX,spotify:track:26xp5kQzZFrpjUJrVgreDX,https://api.spotify.com/v1/tracks/26xp5kQzZFrpjUJrVgreDX,https://api.spotify.com/v1/audio-analysis/26xp5kQzZFrpjUJrVgreDX,157756,3,Arcade Player,2am
213,0.653,0.473,9,-13.418,1,0.361,0.000718,0.888,0.104,0.933,213.998,audio_features,7HKdlEg7UdV2gVcRgZquda,spotify:track:7HKdlEg7UdV2gVcRgZquda,https://api.spotify.com/v1/tracks/7HKdlEg7UdV2gVcRgZquda,https://api.spotify.com/v1/audio-analysis/7HKdlEg7UdV2gVcRgZquda,46881,4,Arcade Player,2pm
