,start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,artist_name,track_name
3679,0.0,10.80015,1.0,-16.703,86.672,0.381,8,0.582,1,0.582,5,0.846,BTS,Intro: Serendipity
3680,10.80015,15.83749,0.181,-13.82,87.355,0.439,8,0.74,1,0.675,5,0.955,BTS,Intro: Serendipity
3681,26.63764,42.47197,0.348,-7.821,117.461,0.511,8,0.576,1,0.617,4,0.179,BTS,Intro: Serendipity
3682,69.10962,16.15483,0.253,-9.176,129.948,0.342,8,0.75,1,0.776,4,1.0,BTS,Intro: Serendipity
3683,85.26445,41.7732,0.265,-6.447,129.598,0.327,8,0.391,1,0.492,4,1.0,BTS,Intro: Serendipity
3684,127.03765,12.93387,0.98,-22.14,128.681,0.262,8,0.192,1,0.636,4,1.0,BTS,Intro: Serendipity
3685,0.0,19.9543,1.0,-12.286,104.04,0.698,6,0.012,0,0.161,3,0.522,BTS,Intro: Singularity
3686,19.9543,6.9383,0.3,-9.695,104.424,0.683,8,0.055,0,0.311,3,1.0,BTS,Intro: Singularity
3687,26.89261,26.51099,0.311,-12.19,104.35,0.571,11,0.412,1,0.555,3,1.0,BTS,Intro: Singularity
3688,53.4036,28.85325,0.663,-7.57,104.232,0.572,1,0.749,0,0.509,3,1.0,BTS,Intro: Singularity
3689,82.25685,27.72642,0.417,-12.929,104.047,0.67,11,0.043,0,0.418,3,1.0,BTS,Intro: Singularity
3690,109.98327,24.36978,0.108,-10.501,104.006,0.579,1,0.192,0,0.438,3,0.95,BTS,Intro: Singularity
3691,134.35304,38.12695,0.536,-7.32,103.355,0.556,1,0.693,0,0.443,3,1.0,BTS,Intro: Singularity
3692,172.48,24.51846,0.334,-8.57,104.079,0.402,1,0.749,0,0.649,3,1.0,BTS,Intro: Singularity
3693,0.0,23.43548,1.0,-14.354,93.639,0.245,6,0.319,0,0.572,3,1.0,BTS,Lie
3694,23.43548,45.32736,0.785,-5.295,93.988,0.449,6,0.689,0,0.697,3,1.0,BTS,Lie
3695,68.76285,24.26253,0.467,-4.097,94.191,0.454,6,0.59,0,0.814,3,0.914,BTS,Lie
3696,93.02537,48.50106,0.569,-5.642,94.053,0.46,6,0.774,0,0.724,3,1.0,BTS,Lie
3697,141.52643,42.82561,0.461,-4.256,94.085,0.392,11,0.029,0,0.287,3,0.276,BTS,Lie
3698,184.35204,11.42633,0.563,-6.201,94.575,0.491,11,0.351,0,0.475,5,0.286,BTS,Lie
3699,195.77837,13.40561,0.652,-3.839,94.143,0.289,6,0.496,0,0.636,3,0.733,BTS,Lie
3700,209.18398,6.56876,0.12,-8.105,0.0,0.0,4,0.0,1,0.0,3,0.6,BTS,Lie
3701,0.0,49.49426,1.0,-6.301,81.272,0.476,1,0.541,1,0.509,4,1.0,BTS,Life Goes On
3702,49.49426,28.92612,0.002,-6.412,81.026,0.508,1,0.723,1,0.518,4,1.0,BTS,Life Goes On
3703,78.42038,52.58236,0.281,-5.006,81.146,0.485,1,0.775,1,0.497,4,1.0,BTS,Life Goes On
3704,131.00275,18.52595,0.368,-5.361,81.062,0.473,1,0.33,1,0.381,4,1.0,BTS,Life Goes On
3705,149.52869,53.99894,0.013,-5.061,80.986,0.432,1,0.813,1,0.551,4,1.0,BTS,Life Goes On
3706,203.52762,3.95383,0.93,-53.538,0.0,0.0,11,0.0,0,0.0,4,1.0,BTS,Life Goes On
3707,0.0,13.39311,1.0,-14.434,150.434,0.497,1,0.217,0,0.451,4,1.0,BTS,Love Maze
3708,13.39311,37.59905,1.0,-4.512,149.891,0.538,9,0.673,1,0.392,4,1.0,BTS,Love Maze
3709,50.99216,14.81071,0.632,-4.648,149.862,0.454,9,0.478,1,0.196,4,1.0,BTS,Love Maze
3710,65.80287,35.58666,0.398,-4.016,149.979,0.427,9,0.575,1,0.369,4,1.0,BTS,Love Maze
3711,101.38953,11.60408,0.161,-4.993,149.871,0.535,9,0.35,1,0.249,4,1.0,BTS,Love Maze
3712,112.99361,12.39716,0.204,-4.3,150.184,0.495,9,0.163,1,0.307,4,1.0,BTS,Love Maze
3713,125.39076,39.99841,0.344,-4.471,150.01,0.451,9,0.463,1,0.27,4,1.0,BTS,Love Maze
3714,165.38918,12.00859,0.261,-4.209,150.091,0.594,9,0.185,1,0.347,4,1.0,BTS,Love Maze
3715,177.39777,44.13171,0.545,-3.929,150.095,0.439,9,0.45,1,0.207,4,1.0,BTS,Love Maze
3716,0.0,9.77964,1.0,-15.369,188.694,0.164,8,0.397,1,0.523,4,1.0,BTS,MAMA
3717,9.77964,23.87935,1.0,-6.329,185.805,0.402,5,0.338,0,0.534,4,1.0,BTS,MAMA
3718,33.65899,18.39537,0.618,-5.208,187.059,0.493,10,0.132,0,0.49,4,1.0,BTS,MAMA
3719,52.05436,31.26349,0.028,-4.062,186.219,0.353,5,0.404,0,0.679,4,1.0,BTS,MAMA
3720,83.31785,14.52159,0.653,-6.409,186.332,0.541,1,0.267,1,0.255,4,1.0,BTS,MAMA
3721,97.83944,25.44313,0.217,-4.661,185.953,0.568,10,0.549,0,0.501,4,1.0,BTS,MAMA
3722,123.28257,21.32841,0.398,-3.622,185.2,0.307,5,0.382,0,0.714,4,1.0,BTS,MAMA
3723,144.61098,10.32697,0.763,-7.515,185.822,0.36,10,0.018,0,0.219,4,1.0,BTS,MAMA
3724,154.93794,18.21769,0.487,-4.063,184.137,0.355,5,0.511,0,0.508,4,1.0,BTS,MAMA
3725,173.15565,15.81588,0.538,-3.801,186.035,0.308,3,0.393,0,0.334,4,0.515,BTS,MAMA
